"Data Source","World Development Indicators",

"Last Updated Date","2019-03-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Central Europe and the Baltics","CEB","Population ages 65 and above, female","SP.POP.65UP.FE.IN","3970654","4108670","4258218","4420615","4590094","4754115","4921332","5088633","5251367","5415166","5578906","5736522","5910541","6089611","6274270","6464044","6657165","6848152","7013871","7122725","7165919","7137105","7040499","6918598","6832859","6820860","6912884","7061945","7246041","7416181","7561739","7703670","7850135","8016268","8167031","8310904","8456743","8610369","8739512","8875931","8959960","9082958","9189915","9316899","9424960","9505617","9578386","9610187","9632268","9688651","9766588","9876369","10037465","10232167","10446647","10669927","10907373","11146236","",
"Switzerland","CHE","Population ages 65 and above, female","SP.POP.65UP.FE.IN","316522","325154","335905","345709","354220","361355","370663","381129","392159","403141","412942","423785","435793","447877","459237","468040","477710","488277","500031","511515","522235","528473","532766","535192","537938","542919","549106","557553","567536","577694","588183","598249","606376","612538","617817","622577","628936","634246","640058","646914","654139","660105","666539","673015","679885","687544","696123","707511","722754","739291","755855","768902","782895","798660","815189","830531","847074","863008","",
"Channel Islands","CHI","Population ages 65 and above, female","SP.POP.65UP.FE.IN","8723","8836","8976","9128","9287","9443","9580","9722","9864","10011","10158","10328","10486","10633","10763","10877","11055","11195","11290","11356","11417","11508","11594","11681","11759","11838","11932","12022","12101","12159","12198","12265","12320","12346","12358","12358","12375","12366","12341","12324","12321","12468","12607","12734","12854","13006","13176","13404","13664","13923","14160","14381","14573","14772","15018","15347","15717","16155","",
"Chile","CHL","Population ages 65 and above, female","SP.POP.65UP.FE.IN","208803","216594","224051","231258","238388","245521","252628","259480","266247","273148","280334","289150","298247","307400","316246","324624","334630","344002","353086","362259","371754","382372","393104","404024","415148","426531","438504","450598","463049","476258","490501","505864","522217","539340","556841","574572","593657","612710","631856","651206","670859","690212","709474","729394","750962","774849","799254","825623","853603","882538","912171","940023","968377","998199","1030894","1067412","1106325","1148126","",
"China","CHN","Population ages 65 and above, female","SP.POP.65UP.FE.IN","14257483","14159673","14111612","14166007","14177733","14220108","14855923","15542118","16277560","17022012","17741786","18529864","19277813","20009502","20733227","21444303","22279629","23094384","23932413","24797320","25662014","26661492","27677206","28656200","29555833","30414507","31210511","31970942","32700547","33440678","34251392","35008531","35891732","36879561","37923255","38985997","40395445","41708787","42962599","44220533","45511058","46760924","48036380","49319623","50548808","51712868","52846973","53950434","55093856","56366435","57840696","59464187","61203690","63195273","65644186","68656562","72224565","76363223","",
"Cote d'Ivoire","CIV","Population ages 65 and above, female","SP.POP.65UP.FE.IN","46345","48159","49981","51801","53635","55481","57563","59625","61713","63889","66184","69046","72053","75216","78515","81967","85653","89421","93323","97406","101726","106214","110912","115817","120895","126178","131774","137385","143147","149211","155688","161995","168409","174961","181650","188483","193890","198738","203039","206823","210148","215705","220439","224475","227963","231067","238414","245449","252138","258365","264114","272178","279691","286949","294324","302027","312762","323567","",
"Cameroon","CMR","Population ages 65 and above, female","SP.POP.65UP.FE.IN","104254","107246","110063","112748","115337","117858","121260","124584","127843","131006","134088","138111","142025","145873","149674","153462","158050","162574","167053","171505","175940","181117","186142","191082","196018","201005","206610","212196","217719","223133","228446","234283","239818","245099","250174","255106","260847","266197","271283","276201","280993","288002","294745","301252","307527","313594","321111","328498","335763","342914","350002","358556","366988","375374","383808","392372","402652","412956","",
"Congo, Dem. Rep.","COD","Population ages 65 and above, female","SP.POP.65UP.FE.IN","272562","278441","284105","289660","295182","300760","309513","318257","326911","335374","343624","354047","363970","373639","383325","393222","405588","417962","430185","442017","453387","466722","479176","491052","502707","514422","529049","543838","559298","575968","594111","616162","639920","664307","688082","710698","730995","748187","763598","778719","794490","817494","841351","866017","891375","917357","948459","980127","1012467","1045592","1079655","1117487","1156040","1194939","1233595","1271856","1311927","1351540","",
"Congo, Rep.","COG","Population ages 65 and above, female","SP.POP.65UP.FE.IN","20598","21303","22014","22732","23448","24165","24971","25766","26560","27367","28183","29082","29972","30867","31750","32636","33619","34571","35517","36471","37451","38525","39610","40719","41830","42947","44188","45408","46617","47837","49087","50411","51726","53036","54354","55682","57048","58372","59650","60900","62128","63506","64830","66142","67494","68914","70873","72917","74978","76996","78923","81344","83677","85970","88319","90798","93534","96419","",
"Colombia","COL","Population ages 65 and above, female","SP.POP.65UP.FE.IN","298618","309294","319874","330463","341162","352039","364220","376438","388781","401427","414576","429151","444285","459830","475433","490932","509472","526904","543684","560404","577352","595436","614129","633571","653869","675269","698289","722243","746818","771651","796584","822077","847059","872071","897764","924581","952932","982403","1012951","1044233","1076226","1110918","1146004","1182104","1220044","1260525","1303371","1348958","1398403","1453012","1513900","1580050","1651394","1728616","1812558","1903811","1998783","2100001","",
"Comoros","COM","Population ages 65 and above, female","SP.POP.65UP.FE.IN","3397","3445","3479","3500","3518","3529","3609","3684","3759","3828","3902","4023","4143","4266","4393","4530","4730","4939","5160","5375","5580","5794","5976","6138","6292","6445","6626","6803","6976","7144","7302","7501","7697","7884","8067","8240","8459","8661","8853","9040","9215","9434","9631","9818","9996","10169","10407","10642","10859","11057","11219","11432","11612","11796","12016","12296","12692","13138","",
"Cabo Verde","CPV","Population ages 65 and above, female","SP.POP.65UP.FE.IN","6177","6161","6154","6155","6151","6137","6192","6238","6284","6333","6405","6718","7020","7298","7547","7752","7925","8076","8193","8276","8311","8386","8448","8484","8481","8435","8381","8287","8201","8205","8343","8520","8823","9207","9618","10012","10482","10948","11431","11963","12557","13187","13843","14482","15045","15501","15835","16057","16191","16259","16280","15918","15508","15113","14807","14649","14718","14934","",
"Costa Rica","CRI","Population ages 65 and above, female","SP.POP.65UP.FE.IN","20548","21329","22205","23146","24135","25165","26284","27459","28687","29985","31358","32815","34336","35924","37610","39386","41391","43419","45499","47630","49827","52078","54441","56914","59508","62241","65054","67994","71108","74474","78147","81626","85370","89384","93608","98045","102267","106649","111193","115914","120830","125788","130932","136294","141883","147759","153729","159813","166233","173316","181265","189420","198491","208248","218264","228347","238089","247810","",
