"Data Source","World Development Indicators",

"Last Updated Date","2019-03-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Switzerland","CHE","Population ages 0-14, female","SP.POP.0014.FE.IN","628760","646789","665403","679028","687929","692377","698500","705183","711652","716736","718062","718613","719106","717699","712723","701011","682970","665612","649039","632329","616421","604026","592085","580301","569722","561278","557842","554872","553338","554310","559280","567073","577030","587822","597679","604869","609725","611117","610760","610219","609342","606825","604011","600138","595022","589008","582584","577572","575105","573278","571339","574221","577113","581666","588300","595911","604318","613226","",
"Channel Islands","CHI","Population ages 0-14, female","SP.POP.0014.FE.IN","11461","11618","11674","11748","11890","12079","12196","12263","12386","12592","12809","12884","12874","12797","12656","12459","12292","12101","11896","11684","11464","11299","11113","10946","10838","10795","10795","10834","10931","11038","11120","11308","11424","11527","11668","11850","11946","12097","12267","12393","12440","12432","12390","12339","12298","12249","12279","12204","12083","11981","11924","11864","11862","11886","11895","11865","11865","11824","",
"Chile","CHL","Population ages 0-14, female","SP.POP.0014.FE.IN","1501230","1538851","1579577","1621250","1660246","1694779","1729555","1759896","1786018","1808606","1827794","1846463","1859978","1869365","1875915","1880343","1879946","1879547","1878569","1876295","1872983","1870004","1867261","1865703","1867031","1872407","1883747","1898207","1915380","1933775","1951965","1972692","1990270","2005391","2018904","2030749","2035715","2040438","2042982","2040856","2033168","2022495","2006997","1987932","1967958","1948872","1932233","1916974","1902823","1888662","1873845","1863504","1851015","1837810","1825855","1815969","1805939","1799188","",
"China","CHN","Population ages 0-14, female","SP.POP.0014.FE.IN","127921548","126905527","129358608","134387070","138733597","142288989","147261243","150735833","153634336","156932579","160813785","165356742","169407365","173063918","175889023","177446463","177487883","176652784","175157515","173093037","170477857","167160346","164283548","161464889","158670170","156428414","155881171","156042781","156713893","157459291","157962733","159885478","160096937","159392129","158808278","158659275","155868352","154657402","153853498","151822026","147972904","144162816","138748842","132406835","126444126","121611883","118124857","115296379","113264449","111859426","110933743","110414194","110515667","111043933","111697062","112258963","112970164","113459119","",
"Cote d'Ivoire","CIV","Population ages 0-14, female","SP.POP.0014.FE.IN","758851","793109","830224","869411","908920","947828","992744","1036345","1080311","1127146","1178623","1235211","1294925","1357737","1423191","1491085","1568292","1646765","1726496","1807221","1888686","1979447","2068180","2155304","2241255","2326090","2417226","2506753","2594575","2680575","2765037","2855971","2944066","3029288","3112058","3192534","3287155","3379924","3468646","3550233","3623033","3713078","3794659","3870852","3946697","4025837","4101436","4180757","4263268","4348341","4436586","4527643","4621729","4718245","4816641","4916697","5026497","5135734","",
"Cameroon","CMR","Population ages 0-14, female","SP.POP.0014.FE.IN","1035198","1063096","1091859","1121431","1151441","1181749","1219680","1256739","1293801","1331953","1371750","1419047","1467015","1515928","1565796","1616681","1674935","1733321","1792525","1853443","1916619","1987859","2060688","2134971","2210248","2286169","2371448","2455149","2537483","2618436","2697406","2781845","2863122","2940625","3013314","3080613","3153034","3219651","3282144","3343419","3405983","3480434","3556718","3635373","3716431","3800111","3898323","3996656","4096416","4198819","4303982","4419215","4534602","4649493","4762330","4871915","4985283","5094139","",
"Congo, Dem. Rep.","COD","Population ages 0-14, female","SP.POP.0014.FE.IN","3320876","3412052","3497892","3582468","3671385","3767619","3888826","4013565","4140575","4266380","4388437","4530048","4665421","4797360","4930047","5066294","5229555","5393425","5555990","5713261","5862039","6032011","6193754","6351547","6511474","6678907","6878147","7076851","7284875","7515309","7777158","8093195","8434967","8785883","9117096","9405000","9697068","9948890","10176101","10407135","10665403","10984924","11326072","11689079","12068964","12462023","12905779","13357032","13819067","14295101","14785920","15324306","15867809","16415861","16965627","17514179","18094663","18664186","",
"Congo, Rep.","COG","Population ages 0-14, female","SP.POP.0014.FE.IN","212741","219691","226803","234116","241618","249311","258076","266866","275805","285049","294682","305302","316181","327240","338328","349338","361739","373915","385940","397915","409884","422634","435071","447207","459066","470601","482676","494461","505979","517236","528292","540091","551661","563270","575277","587952","602296","617438","633274","649494","665954","684979","703713","723093","744400","768419","794288","822595","852243","881335","908514","940657","970362","998294","1025522","1052668","1078766","1104196","",
"Colombia","COL","Population ages 0-14, female","SP.POP.0014.FE.IN","3781647","3910695","4041876","4172891","4300885","4424326","4555549","4679490","4795126","4900157","4991820","5078690","5145138","5197503","5245904","5296820","5332522","5384001","5442677","5495483","5537310","5599520","5643786","5679905","5722879","5778817","5840700","5910645","5985137","6056021","6118402","6169291","6217016","6257550","6286500","6301619","6312667","6304954","6284534","6261720","6242458","6216001","6199089","6185884","6166130","6134865","6111744","6072538","6023797","5976002","5933958","5889183","5851761","5817718","5779724","5734338","5689719","5639681","",
"Comoros","COM","Population ages 0-14, female","SP.POP.0014.FE.IN","39080","40250","41466","42708","43915","45075","46334","47548","48714","49823","50870","51987","53014","54061","55306","56873","58866","61108","63522","65944","68243","70644","72962","75223","77497","79848","82532","85202","87877","90568","93264","96041","98770","101428","103986","106408","108796","111085","113265","115318","117257","119308","121245","123126","125035","127034","129286","131604","134006","136488","139045","141855","144714","147592","150453","153248","156178","158950","",
